file,algorithm,solution,time,Gsize,Hsize
datafiles/config-38_38-38_38.dat,greedy,,0.024004220962524414,38,38
datafiles/config-38_38-38_38.dat,local,,0.024005651473999023,38,38
datafiles/config-38_38-38_38.dat,grasp,,0.6551480293273926,38,38
datafiles/config-38_39-38_38.dat,greedy,,0.05501055717468262,38,38
datafiles/config-38_39-38_38.dat,local,,0.06501436233520508,38,38
datafiles/config-38_39-38_38.dat,grasp,,0.026005983352661133,38,38
datafiles/config-38_39-38_39.dat,greedy,,0.003000497817993164,38,38
datafiles/config-38_39-38_39.dat,local,,0.0020003318786621094,38,38
datafiles/config-38_39-38_39.dat,grasp,,0.010002851486206055,38,38
datafiles/config-38_40-38_38.dat,greedy,,0.011002540588378906,38,38
datafiles/config-38_40-38_38.dat,local,,0.01000213623046875,38,38
datafiles/config-38_40-38_38.dat,grasp,,0.010001897811889648,38,38
datafiles/config-38_40-38_39.dat,greedy,,0.0030002593994140625,38,38
datafiles/config-38_40-38_39.dat,local,,0.0030012130737304688,38,38
datafiles/config-38_40-38_39.dat,grasp,,0.011002779006958008,38,38
datafiles/config-38_40-38_40.dat,greedy,,0.4791069030761719,38,38
datafiles/config-38_40-38_40.dat,local,,0.47310686111450195,38,38
datafiles/config-38_40-38_40.dat,grasp,,0.13703012466430664,38,38
datafiles/config-39_38-38_38.dat,greedy,,0.2070457935333252,39,38
datafiles/config-39_38-38_38.dat,local,,0.18204116821289062,39,38
datafiles/config-39_38-38_38.dat,grasp,,0.17203927040100098,39,38
datafiles/config-39_38-38_39.dat,greedy,,0.05201148986816406,39,38
datafiles/config-39_38-38_39.dat,local,,0.05301213264465332,39,38
datafiles/config-39_38-38_39.dat,grasp,,0.08401846885681152,39,38
datafiles/config-39_38-38_40.dat,greedy,,0.01000213623046875,39,38
datafiles/config-39_38-38_40.dat,local,,0.01100301742553711,39,38
datafiles/config-39_38-38_40.dat,grasp,,0.011002063751220703,39,38
datafiles/config-39_38-39_38.dat,greedy,,0.0020003318786621094,39,39
